Counts for LG(8) in Croatia(9):
Hour	Location Index	Count
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	23
9	0	12
10	0	0
11	0	0
12	0	0
13	0	23
14	0	0
15	0	12
16	0	0
17	0	12
18	0	0
19	0	0
20	0	44
21	0	34
22	0	0
23	0	0
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	15
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	8
20	1	0
21	1	0
22	1	0
23	1	0
0	2	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	10
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	18
21	2	0
22	2	0
23	2	0
0	3	0
1	3	0
2	3	0
3	3	2
4	3	0
5	3	0
6	3	2
7	3	5
8	3	6
9	3	0
10	3	0
11	3	4
12	3	0
13	3	2
14	3	0
15	3	5
16	3	2
17	3	2
18	3	4
19	3	5
20	3	2
21	3	2
22	3	2
23	3	0
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7	4	0
8	4	0
9	4	51
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
0	5	0
1	5	0
2	5	0
3	5	2
4	5	4
5	5	9
6	5	2
7	5	4
8	5	5
9	5	2
10	5	0
11	5	0
12	5	4
13	5	0
14	5	2
15	5	2
16	5	5
17	5	0
18	5	4
19	5	2
20	5	0
21	5	9
22	5	0
23	5	0
0	6	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
6	6	0
7	6	0
8	6	0
9	6	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	0
17	6	0
18	6	0
19	6	0
20	6	0
21	6	0
22	6	0
23	6	0
0	7	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	0
7	7	0
8	7	0
9	7	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	0
16	7	0
17	7	106
18	7	0
19	7	0
20	7	0
21	7	0
22	7	0
23	7	0
0	8	0
1	8	0
2	8	5
3	8	0
4	8	0
5	8	0
6	8	6
7	8	2
8	8	5
9	8	0
10	8	3
11	8	2
12	8	3
13	8	5
14	8	3
15	8	0
16	8	3
17	8	2
18	8	16
19	8	3
20	8	2
21	8	2
22	8	0
23	8	0
0	9	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
6	9	19
7	9	0
8	9	0
9	9	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	0
18	9	0
19	9	0
20	9	0
21	9	0
22	9	0
23	9	0
0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	0
7	10	0
8	10	15
9	10	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	0
16	10	0
17	10	0
18	10	0
19	10	0
20	10	0
21	10	0
22	10	0
23	10	0
0	11	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	0
7	11	0
8	11	0
9	11	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	6
18	11	0
19	11	6
20	11	0
21	11	0
22	11	0
23	11	0
0	12	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	0
6	12	0
7	12	0
8	12	0
9	12	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	0
18	12	14
19	12	0
20	12	0
21	12	0
22	12	0
23	12	0
0	13	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	0
7	13	12
8	13	0
9	13	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	12
15	13	0
16	13	0
17	13	0
18	13	34
19	13	0
20	13	0
21	13	0
22	13	0
23	13	0
0	14	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
6	14	0
7	14	0
8	14	0
9	14	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	13
15	14	0
16	14	0
17	14	0
18	14	0
19	14	0
20	14	0
21	14	0
22	14	0
23	14	0
0	15	0
1	15	0
2	15	0
3	15	0
4	15	5
5	15	0
6	15	0
7	15	14
8	15	0
9	15	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	5
17	15	0
18	15	0
19	15	0
20	15	0
21	15	5
22	15	0
23	15	0
0	16	0
1	16	0
2	16	0
3	16	0
4	16	27
5	16	6
6	16	0
7	16	0
8	16	0
9	16	0
10	16	0
11	16	11
12	16	6
13	16	0
14	16	0
15	16	0
16	16	0
17	16	0
18	16	6
19	16	17
20	16	0
21	16	6
22	16	6
23	16	6
0	17	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	13
6	17	0
7	17	0
8	17	0
9	17	0
10	17	13
11	17	0
12	17	0
13	17	7
14	17	0
15	17	0
16	17	0
17	17	4
18	17	4
19	17	13
20	17	4
21	17	0
22	17	0
23	17	0
0	18	0
1	18	0
2	18	2
3	18	0
4	18	0
5	18	0
6	18	4
7	18	2
8	18	0
9	18	0
10	18	0
11	18	4
12	18	5
13	18	5
14	18	5
15	18	10
16	18	5
17	18	2
18	18	2
19	18	0
20	18	0
21	18	5
22	18	0
23	18	0
0	19	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	0
7	19	0
8	19	0
9	19	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	0
21	19	0
22	19	0
23	19	21
0	20	0
1	20	0
2	20	0
3	20	28
4	20	0
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	53
15	20	0
16	20	0
17	20	0
18	20	0
19	20	0
20	20	0
21	20	0
22	20	0
23	20	0
0	21	0
1	21	0
2	21	0
3	21	0
4	21	0
5	21	7
6	21	0
7	21	0
8	21	0
9	21	0
10	21	0
11	21	0
12	21	7
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	7
19	21	0
20	21	7
21	21	0
22	21	0
23	21	0
0	22	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
6	22	0
7	22	0
8	22	0
9	22	0
10	22	0
11	22	0
12	22	0
13	22	16
14	22	0
15	22	0
16	22	0
17	22	0
18	22	0
19	22	0
20	22	16
21	22	0
22	22	16
23	22	0
0	23	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
6	23	0
7	23	0
8	23	0
9	23	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
